#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 261000      1.65e-01    1.60e-01      2.15e-03    1.66e-03      1.54e-01    1.50e-01    1.4e-07
 262000      1.58e-01    1.67e-01      2.09e-03    1.25e-03      1.48e-01    1.57e-01    1.4e-07
 263000      1.69e-01    1.50e-01      2.16e-03    7.54e-04      1.58e-01    1.41e-01    1.4e-07
 264000      1.68e-01    1.81e-01      1.52e-03    2.30e-03      1.57e-01    1.70e-01    1.4e-07
 265000      1.78e-01    1.87e-01      2.03e-03    2.41e-03      1.69e-01    1.77e-01    1.2e-07
 266000      1.80e-01    1.96e-01      1.24e-03    2.55e-03      1.70e-01    1.85e-01    1.2e-07
 267000      1.61e-01    1.58e-01      1.70e-03    2.29e-03      1.53e-01    1.50e-01    1.2e-07
 268000      1.90e-01    1.57e-01      2.35e-03    6.28e-04      1.80e-01    1.49e-01    1.2e-07
 269000      1.85e-01    1.77e-01      2.20e-03    3.41e-03      1.75e-01    1.68e-01    1.2e-07
 270000      1.65e-01    1.71e-01      9.33e-04    1.74e-03      1.57e-01    1.63e-01    9.8e-08
 271000      1.69e-01    1.94e-01      8.76e-04    1.29e-03      1.61e-01    1.85e-01    9.8e-08
 272000      1.61e-01    1.70e-01      1.72e-03    1.50e-03      1.54e-01    1.62e-01    9.8e-08
 273000      1.67e-01    1.57e-01      1.49e-03    1.89e-03      1.59e-01    1.49e-01    9.8e-08
 274000      1.83e-01    1.84e-01      9.44e-04    8.28e-04      1.75e-01    1.76e-01    9.8e-08
 275000      1.52e-01    1.53e-01      1.81e-03    7.89e-04      1.46e-01    1.47e-01    8.3e-08
 276000      1.59e-01    1.39e-01      8.09e-04    1.83e-03      1.53e-01    1.33e-01    8.3e-08
 277000      1.95e-01    1.53e-01      2.49e-03    1.77e-03      1.87e-01    1.47e-01    8.3e-08
 278000      1.66e-01    1.50e-01      2.16e-03    1.16e-03      1.60e-01    1.44e-01    8.3e-08
 279000      1.88e-01    1.93e-01      1.21e-03    1.54e-03      1.81e-01    1.85e-01    8.3e-08
 280000      1.55e-01    1.72e-01      5.09e-04    1.47e-03      1.50e-01    1.66e-01    7.0e-08
 281000      1.41e-01    1.75e-01      1.67e-03    9.06e-04      1.36e-01    1.69e-01    7.0e-08
 282000      2.74e-01    1.45e-01      4.53e-03    3.05e-03      2.65e-01    1.40e-01    7.0e-08
 283000      1.61e-01    1.88e-01      2.43e-03    1.45e-03      1.56e-01    1.82e-01    7.0e-08
 284000      1.85e-01    1.97e-01      7.81e-04    2.07e-03      1.79e-01    1.90e-01    7.0e-08
 285000      1.45e-01    1.62e-01      2.29e-03    2.30e-03      1.41e-01    1.57e-01    5.9e-08
 286000      1.42e-01    1.45e-01      1.61e-03    7.63e-04      1.38e-01    1.41e-01    5.9e-08
 287000      1.79e-01    1.77e-01      1.85e-03    2.76e-03      1.73e-01    1.71e-01    5.9e-08
 288000      1.99e-01    1.62e-01      3.29e-03    3.11e-03      1.93e-01    1.57e-01    5.9e-08
 289000      1.68e-01    1.96e-01      2.79e-03    2.89e-03      1.63e-01    1.90e-01    5.9e-08
 290000      1.92e-01    2.09e-01      2.50e-03    2.62e-03      1.87e-01    2.04e-01    4.9e-08
 291000      1.94e-01    1.45e-01      3.30e-03    6.63e-04      1.89e-01    1.42e-01    4.9e-08
 292000      1.91e-01    1.44e-01      1.61e-03    3.40e-03      1.87e-01    1.41e-01    4.9e-08
 293000      1.72e-01    1.87e-01      2.31e-03    2.04e-03      1.68e-01    1.82e-01    4.9e-08
 294000      1.45e-01    1.84e-01      1.36e-03    1.08e-03      1.42e-01    1.80e-01    4.9e-08
 295000      1.83e-01    1.59e-01      1.43e-03    1.59e-03      1.79e-01    1.56e-01    4.2e-08
 296000      1.53e-01    1.80e-01      9.05e-04    2.22e-03      1.50e-01    1.76e-01    4.2e-08
 297000      2.02e-01    1.43e-01      1.19e-03    1.58e-03      1.98e-01    1.40e-01    4.2e-08
 298000      2.01e-01    1.60e-01      2.78e-03    2.72e-03      1.97e-01    1.56e-01    4.2e-08
 299000      1.63e-01    1.88e-01      2.23e-03    1.84e-03      1.59e-01    1.84e-01    4.2e-08
 300000      1.70e-01    1.53e-01      2.80e-03    1.38e-03      1.67e-01    1.50e-01    3.5e-08
